序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
464,imported,DB_FLOOR_SKULL_CRUSHER,地板哑铃碎颅者,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
465,imported,CABLE_V_BAR_PUSHDOWN,V-Bar 绳索下压,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
466,imported,BB_STRAIGHT_BAR_PUSHDOWN,直杆绳索下压,杠铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
467,imported,CABLE_SINGLE_TRICEP_EXT,绳索臂屈伸（单）,绳索,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
468,imported,DB_TRICEP_EXT,哑铃臂屈伸,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
469,imported,DB_FLAT_SINGLE_TRICEP_EXT,平板哑铃臂屈伸（单）,哑铃,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
470,imported,REVERSE_TRICEP_EXT,反手三头臂屈伸,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
471,imported,PLANK_TRICEP_EXT,平板臂屈伸,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
472,imported,PLANK_TRICEP_EXT_HARD,平板臂屈伸-高难度,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
473,imported,PLANK_TRICEP_PRESS,平板三头推,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
474,imported,PLANK_TRICEP_EXT_BENT_LEG,平板臂屈伸（屈腿）,自重,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
475,imported,SUSP_TRICEP_EXT,TRX-三头臂屈伸,悬挂,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
476,imported,BAND_SKULL_CRUSHER,弹力带-碎颅者,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
477,imported,BAND_OVERHEAD_TRICEP_EXT,弹力带-过头臂屈伸,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
478,imported,BAND_SINGLE_ARM_TRICEP_EXT,弹力带-单手臂屈伸,弹力带,三头,,手臂,肱三头肌,,手臂 > 肱三头肌,triceps,,,,,,,,
