序号,来源,动作编码,动作名称,器械,原始一级分类,原始子分类,实际一级分类,实际二级肌肉,实际三级肌区,用户可见路径,主动肌区,协同肌区,可疑提示,审核结论,建议一级分类,建议二级肌肉,建议三级肌区,建议器械,审核备注
203,imported,MACHINE_INCLINE_SINGLE_ARM_PRESS,器械上斜单臂胸部推举,器械,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
204,imported,DEEP_PUSH_UP,深度俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
205,imported,DB_BALL_FLY,健身球哑铃飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
206,imported,INCLINE_DB_BALL_FLY,健身球上斜哑铃飞鸟,哑铃,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,,,,,,,
207,imported,DB_HAMMER_BENCH_PRESS,仰卧哑铃锤式卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
208,imported,CLOSE_KNEELING_PUSH_UP,窄距跪姿俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
209,imported,DECLINE_DB_TWIST_FLY,哑铃下斜扭转飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
210,imported,CABLE_DECLINE_FLY,绳索下斜飞鸟,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
211,imported,INCLINE_SHOULDER_TAP_PUSH_UP,上斜触肩俯卧撑,自重,胸,上胸,胸,胸大肌,上胸,胸 > 上胸,chest,,名称像肩部,,,,,,
212,imported,BENCH_PIKE_PUSH_UP,凳上派克式俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
213,imported,BB_LEVER_FLY,杠杆夹胸,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
214,imported,KNEELING_PUSH_UP_CHILD_POSE,跪姿俯卧撑接婴儿式,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
215,imported,PUSH_UP_ADVANCED_EXTENSION,俯卧撑进阶推展_胸部训练,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
216,imported,DB_SQUEEZE_PRESS,哑铃挤压式卧推,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
217,imported,PIKE_TO_COBRA_PUSH_UP,派克转眼镜蛇俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
218,imported,SUSP_REVERSE_PUSH_UP,吊环反身俯卧撑,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
219,imported,SUSP_FLY,吊环夹胸,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
220,imported,SUSP_PUSH_UP_SIDE_PLANK,吊环俯卧撑转侧平板,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
221,imported,SUSP_DECLINE_PUSH_UP,吊环下斜俯卧撑,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
222,imported,DB_LOW_FLY,哑铃低位飞鸟,哑铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
223,imported,SUSP_REVERSE_FLY,吊环反向飞鸟,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
224,imported,MACHINE_REVERSE_FLY,蝴蝶机反向飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
225,imported,BAND_BENT_OVER_REAR_FLY,弹力带-俯身后束飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
226,imported,SUSP_REAR_DELT_FLY,TRX-后束飞鸟,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
227,imported,V_PUSH_UP,V-俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
228,imported,CABLE_CROSS_REAR_FLY,绳索交叉后束飞鸟,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
229,imported,BAND_BENT_REAR_DELT_FLY,弹力带俯身肩后束飞鸟,弹力带,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
230,imported,MACHINE_SEATED_SINGLE_REAR_FLY,器械坐姿单臂后束飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,名称像肩部,,,,,,
231,imported,SUSP_REVERSE_FLY_2,悬挂带反向飞鸟,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
232,imported,MACHINE_SEATED_REVERSE_FLY,器械坐姿反向飞鸟,器械,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
233,imported,CABLE_CROSS_REVERSE_FLY,绳索交叉反向飞鸟,绳索,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
234,imported,SUSP_FLY_2,吊环分臂飞鸟,悬挂,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
235,imported,CLOCK_PUSH_UP,时钟俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
236,imported,ELBOW_PUSH_UP,肘部俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
237,imported,SPIDERMAN_PUSH_UP,蜘蛛式爬行俯卧撑,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
238,imported,FLOOR_PUSH_UP_TWIST,贴地俯卧撑转体,自重,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
239,imported,BB_CHEST_EXPANSION,杆扩胸,杠铃,胸,中下胸,胸,胸大肌,中下胸,胸 > 中下胸,chest,,,,,,,,
